CustomerID,Amount,Frequency,Recency,Cluster_Id
12357.0,6207.67,131,182,2
12359.0,6245.53,254,9,0
12362.0,5154.58,274,12,0
12409.0,11056.93,114,65,2
12428.0,7877.2,300,26,3
12431.0,6416.39,240,2,0
12432.0,5059.32,108,43,3
12433.0,13375.87,420,10,0
12435.0,7829.89,36,80,2
12437.0,4896.66,201,9,0
12444.0,5005.46,177,0,0
12451.0,8933.52,355,11,0
12471.0,18740.92,531,0,1
12472.0,6229.48,391,52,3
12474.0,7116.47,457,3,0
12476.0,6546.58,264,16,0
12477.0,13117.01,308,23,0
12481.0,5590.86,218,23,3
12490.0,5417.93,245,18,3
12540.0,13309.039999999999,481,20,0
12557.0,11990.960000000001,33,17,0
12567.0,9114.94,463,23,0
12583.0,7187.34,251,0,0
12590.0,9861.38,70,5,0
12621.0,13612.07,474,5,0
12626.0,6388.35,307,24,3
12637.0,5953.25,394,92,2
12664.0,4863.88,38,0,0
12678.0,17588.26,167,43,3
12681.0,13677.59,646,15,1
12682.0,12288.22,525,2,0
12683.0,8221.09,362,5,0
12688.0,4873.8099999999995,171,114,2
12700.0,4867.99,270,127,2
12705.0,6814.24,348,16,0
12709.0,9294.1,257,0,0
12714.0,4708.86,259,10,0
12720.0,5713.28,359,3,0
12731.0,18793.41,277,24,1
12744.0,9120.39,229,52,3
12753.0,21024.01,230,23,1
12766.0,6989.63,310,58,2
12798.0,6977.04,8,11,0
12830.0,6748.4,39,92,2
12839.0,5583.62,316,12,0
12901.0,16293.1,125,11,0
12921.0,16389.74,741,4,1
12939.0,11581.8,47,37,3
12955.0,4734.26,183,17,3
12971.0,10930.26,308,9,0
12980.0,7092.06,24,9,0
12989.0,6854.51,68,1,0
13001.0,9797.92,342,23,0
13004.0,5613.43,409,12,0
13013.0,4786.99,222,3,0
13018.0,7272.75,459,17,0
13027.0,6912.0,26,114,2
13050.0,5684.61,422,9,0
13078.0,12432.28,380,0,0
13090.0,8689.39,161,20,0
13093.0,7741.47,170,9,0
13097.0,5893.32,437,78,2
13102.0,6336.29,310,24,3
13113.0,10510.0,280,5,0
13139.0,5055.79,174,17,3
13178.0,5725.47,265,27,3
13199.0,9803.96,120,11,0
13209.0,5820.16,329,90,2
13225.0,6083.04,34,61,2
13263.0,7454.07,1677,5,1
13269.0,5315.92,320,1,0
13316.0,5815.49,88,80,2
13319.0,10664.34,500,0,0
13324.0,7072.8,77,6,0
13340.0,10736.48,134,46,3
13418.0,5845.44,314,12,0
13458.0,9537.92,394,6,0
13468.0,5656.75,306,0,0
13488.0,8910.61,427,9,0
13534.0,5613.08,342,38,3
13576.0,6703.3,130,11,0
13599.0,5030.6,264,3,0
13629.0,7792.36,59,24,3
13668.0,6216.07,501,11,0
13709.0,6249.110000000001,346,0,0
13756.0,5145.12,143,19,3
13767.0,16945.71,399,26,1
13777.0,25748.350000000002,219,10,1
13854.0,8025.0199999999995,114,1,0
13871.0,6389.8,338,23,3
13881.0,16989.52,180,12,0
13941.0,4912.41,47,22,3
13969.0,8986.69,633,17,0
13985.0,7024.53,353,0,0
14004.0,4582.64,171,44,3
14031.0,14634.640000000001,258,22,0
14049.0,5639.15,505,17,0
14051.0,15477.34,215,18,0
14056.0,8124.4,1128,16,1
14057.0,6147.4,291,24,3
14060.0,6135.38,203,23,3
14062.0,10464.85,111,10,0
14101.0,5976.79,35,74,2
14110.0,5669.65,157,1,0
14135.0,4690.31,134,39,3
14159.0,4678.3,1212,20,0
14180.0,4640.77,248,11,0
14189.0,4604.31,277,10,0
14191.0,4660.01,263,10,0
14194.0,11216.75,604,9,0
14258.0,12650.08,112,10,0
14286.0,4595.81,285,1,0
14292.0,4819.33,108,1,0
14329.0,4928.74,269,18,3
14367.0,9167.82,533,22,0
14390.0,4592.47,291,5,0
14415.0,5811.56,612,20,0
14505.0,5818.7,803,18,0
14527.0,7711.38,1011,0,1
14562.0,4709.22,446,12,0
